company_long_name,company_short_name,twitter_handles,signed_pledge,postal_address,ceo_name,latest_profit_millions
Acord Property Group,Acorn,@AcornPG,No,,,
Ardmore,Ardmore,@ardmoreuk,No,,,
Aviva Investors,Aviva Inv.,@avivainvestors,No,,,
Baltic Developers,Baltic Devs,@BalticDevs,No,,,
Barnfield C Ltd Housing,Barnfield C,@BarnfieldCLtd,No,,,
BAM Construct UK,BAM,@BAMConstructUK,No,,,
Bouygues UK,Bugler Devs,@BouyguesUK,No,,,
Bugler Developments,Bugler,@Bugler_Devs,No,,,
Canary Wharf Group,Canary Wharf Group,@CanaryWharfGrp,No,,,
Chorus Homes,Chorus Homes,@ChorusHomes,No,,,
City & Country, City & Country,@city_andcountry,No,,,
Clarion Group,Clarion,@Clarion_Group,No,,,
Comer Group UK,Comer Group,@comerhomesgroup,No,,,
David Wilson Homes,David Wilson,@DavidWilsonHome,No,,,
Dandara Homes,Dandra,,No,,,
Dominion Group,Dominion,@A2DominionGroup,No,,,
Durkan Limited,Durkan,@DurkanUK,No,,,
Elevate Property Group,Elevate,@Elevate_PG,No,,,
Galliford Try,Galliford Try,@gallifordtry,No,,,
GMI Construction Group PLC,GMI,@GMIConstruction,No,,,
HeadOffice3,HeadOffice3,@headoffice_3,No,,,
Hexagon Housing Ltd,Hexagon,@HousingHexagon,No,,,
Higgins Homes,Higgins,@HigginsHomes @HigginsPartner,No,,,
Homes for Lambeth,Homes for Lambeth,@HomesForLambeth,No,,,
Hyde Housing,Hyde Housing,@HydeHousing,No,,,
Inspired Homes,Inspired Homes,@InspiredHomes_,No,,,
Irwell Valley Homes,Irwell Valley,@irwellvalley,No,,,
Kier Construction Ltd,Kier Construction,@kierconstruct,No,,,
L&Q Homes,L&Q,@LQHomesMatter @LQcontactus,No,,,
Laing O'Rourke,Laing O'Rouke,@Laing_ORourke,No,,,
Lendlease,Lendlease,@Lendleaseuk,No,,,
LPC Living,LPC Living,@lpcliving,No,,,
London Green,London Green,@LondonGreenLtd,No,,,
Sir Robert McAlpine,Robert McAlpine,@WeAreMcAlpine,No,,,
MTV Housing,MTV,@MetTVH,No,,,
Morgan Sindall Group,Morgan Sindall,@morgansindallc,No,,,
Mount Anvil Ltd,Mount Anvil,@mountanvil,No,,,
Muse Developments,Muse,@Muse_Devs,No,,,
Network Homes,Network Homes,@networkhomesuk,No,,,
Notting Hill Genesis,Notting Hill Genesis,@NHGhousing,No,,,
One Housing,One Housing,@OneHousing,No,,,
One Manchester,One Manchester,@OneMcr,No,,,
Optivo Homes,Optivo,@optivohomes,No,,,
Orbit Group,Orbit,@orbitgroup,No,,,
Peabody Housing,Peabody,@PeabodyLDN,No,,,
Peel L&P,Peel L&P,@PeelLandP,No,,,
Pocket Living,Pocket Living,@Pocket_Living,No,,,
Plumlife Homes,Plumlife,@PlumlifeHomes,No,,,
Purelake New Homes,Purelake,@PurelakeGroup,No,,,
Rydon Homes,Rydon,,No,,,
Scar Construction Ltd,Scar,@scargroup,No,,,
Shepherds Bush Housing Group,Sherpherds Bush Housing,@SBHGLondon,No,,,
Southern Housing Group,Southern Homes,@SHGcustomers,No,,,
Swan-Housing,Swan Housing,@_swangroup,No,,,
Telford Homes,Telford Homes,@TelfordHomes,No,,,
Tolent Construction,Tolent,@Tolentplc,No,,,
United Living Group,United Living,@unitedlivinggrp,No,,,
Urban Splash,Urban Splash,@urban_splash,No,,,
VINCI Construction UK,VCUK,@VCUK_Building,No,,,
Wates Group,Wates,@WatesGroup,No,,,
Watkin Jones Homes,@Watkin_Jones,@Watkin_Jones,No,,,
Woodstock Homes,@WoodstockHomes,@WoodstockHomes,No,,,
